disc_conv2 - mean: 0.048341, std: 0.099097, max: 1.204015, min: -0.732843
disc_conv1 - mean: -0.000338, std: 0.131565, max: 0.504494, min: -0.603163
disc_conv2 - mean: 0.047879, std: 0.100363, max: 1.218350, min: -0.750660
disc_conv1 - mean: -0.000669, std: 0.132109, max: 0.555737, min: -0.605754
disc_conv2 - mean: 0.049479, std: 0.090080, max: 1.237190, min: -0.758079
disc_conv1 - mean: -0.000506, std: 0.131054, max: 0.496372, min: -0.595530
disc_conv2 - mean: 0.046964, std: 0.097663, max: 1.227454, min: -0.795711
disc_conv1 - mean: -0.000719, std: 0.131517, max: 0.490885, min: -0.596053
disc_conv2 - mean: 0.048055, std: 0.089233, max: 1.234131, min: -0.783689
disc_conv1 - mean: -0.000716, std: 0.131333, max: 0.497249, min: -0.604085
disc_conv2 - mean: 0.047409, std: 0.089352, max: 1.176541, min: -0.822300
disc_conv1 - mean: -0.000717, std: 0.130832, max: 0.506599, min: -0.609675
disc_conv2 - mean: 0.046720, std: 0.089580, max: 1.242089, min: -0.772803
disc_conv1 - mean: -0.000597, std: 0.130567, max: 0.501904, min: -0.610524
disc_conv2 - mean: 0.045456, std: 0.095080, max: 1.257434, min: -0.775014
disc_conv1 - mean: -0.000616, std: 0.130536, max: 0.501347, min: -0.601260
disc_conv2 - mean: 0.045422, std: 0.094816, max: 1.323724, min: -0.806291
disc_conv1 - mean: -0.000450, std: 0.129481, max: 0.518915, min: -0.610129
disc_conv2 - mean: 0.043781, std: 0.100822, max: 1.253737, min: -0.751912
disc_conv1 - mean: -0.000521, std: 0.129929, max: 0.504072, min: -0.596386
disc_conv2 - mean: 0.043885, std: 0.100639, max: 1.361056, min: -0.804428
disc_conv1 - mean: -0.000496, std: 0.129005, max: 0.592248, min: -0.615445
disc_conv2 - mean: 0.043162, std: 0.099544, max: 1.267702, min: -0.796058
disc_conv1 - mean: -0.000709, std: 0.129522, max: 0.541269, min: -0.642450
disc_conv2 - mean: 0.043429, std: 0.096856, max: 1.244812, min: -0.761814
disc_conv1 - mean: -0.000722, std: 0.129860, max: 0.526664, min: -0.605569
disc_conv2 - mean: 0.042841, std: 0.100560, max: 1.237117, min: -0.781504
disc_conv1 - mean: -0.000819, std: 0.129329, max: 0.545221, min: -0.597618
disc_conv2 - mean: 0.042872, std: 0.096769, max: 1.266535, min: -0.789452
disc_conv1 - mean: -0.001061, std: 0.130450, max: 0.548981, min: -0.600043
disc_conv2 - mean: 0.044012, std: 0.090732, max: 1.238592, min: -0.778464
disc_conv1 - mean: -0.000728, std: 0.128732, max: 0.532253, min: -0.601782
disc_conv2 - mean: 0.040826, std: 0.104848, max: 1.250006, min: -0.763380
disc_conv1 - mean: -0.001075, std: 0.129094, max: 0.501235, min: -0.602798
